Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019]
China,"Fish nei, prepared or preserved, not minced",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,22,161,473,51,114,128,1360,2289,1775,1208,99,946,101,201,428,265,185,246,568,1158,2033,235,192,251,180,178,176,173,163,246,342,162,1625.44
China,"Fish nei, salted or in brine",Imports,Tonnes - net product weight,Tonnes - net product weight,9000,11000,12428,7345,7006,6545,4260,951,1013,1451,1114,852,251,311,632,404,999,8149,2787,162,187,332,720,3436,3199,2148,215,567,214,106,424,318,47,3,330.13
China,"Fish nei, smoked",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,20,34,22,19,41,9,18,35,26,16,18,197,392,371,114,49,88,29,75,100,65,88,119,174,138,58,72,114,88,53,75,63,32.74
China,"Fish, fresh or chilled, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,28,581,30342,6883,3651,8607,7938,11174,7813,9503,3570,6767,2620,2101,1555,2435,7354,36817,14038,120,417,1509,1564,2451,887,1501,3280,3752,5089,6009,5542,7160,9987.56
China,"Fish, frozen, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,43000,47000,48900,98769,128101,114543,121270,128893,159409,181042,205919,102594,100637,92437,59682,171071,183250,196655,219254,202713,246785,388535,612728,755459,897324,1064216,1037271,218498,240208,246305,229504,251527,187235,254366,349472.01
China,"Fishmeal fit for human consumption, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,10000,12000,14371,1267,5404,41,603,4806,15548,3664,2637,1959,44,150,83,59,132,29,16,16,15,108,26,89,61,95,123,52,71,30,21,21,14,15,15.36
China,"Fishmeals, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,191262,201447,220512,453961,471577,223500,632747,637830,431161,663396,693321,882476,985234,416188,631271,1185713,901836,958151,800250,1123082,1580480,979151,966353,1348676,1308065,1038250,1210063,1245890,975955,1038516,1025369,1036995,1571569,1460251,1418724.98
China,"Flatfish nei, fillets, fresh or chilled",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
China,"Flatfish nei, fillets, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,51,13,96,499,315,145,154.54
China,"Flatfish nei, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,6587,5780,3629,465,383,166,526,240,1429,3654,5251,6283,11665,8822,5685,7448,6956,6713,6159,6375,80666,152108,156089,128069,135228,146033,157075,148476.48
China,"Flatfish, fresh or chilled, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,199,584,55,36,55,1,6,2,161,114,11,62,1,21,53,50,1,0,2,0,0,35,0,14,11,362,457,1053.52
China,"Freshwater fish nei, live",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0
China,"Gadiformes excl. Alaska pollock, meat, whether or not minced, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2936,4238,3778,2458,4694,5148,7931,8947.9
China,"Gadiformes fillets, fresh or chilled, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10.65
China,"Gadiformes fillets, frozen, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,130,197,499,95,139,315,2656.34
China,"Gadiformes nei, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32544,27059,30837,31445,29563,31269,26979,27250.22
China,"Gadiformes, dried, whether or not salted, but not smoked",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
China,"Gadiformes, fillets, dried, salted or in brine, not smoked",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,279,57,88,73,56,21,13
